Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Kenya,Kenya,KE,45.58,104.29,88.77,88.77,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 01:00:00,Kenya,Kenya,KE,45.55,104.18,88.78,88.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 02:00:00,Kenya,Kenya,KE,45.15,104.02,88.88,88.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 03:00:00,Kenya,Kenya,KE,45.41,104.45,88.81,88.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 04:00:00,Kenya,Kenya,KE,44.72,103.12,88.98,88.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 05:00:00,Kenya,Kenya,KE,44.74,103.06,88.98,88.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 06:00:00,Kenya,Kenya,KE,39.45,95.12,90.28,90.28,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 07:00:00,Kenya,Kenya,KE,42.83,100.13,89.45,89.45,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 08:00:00,Kenya,Kenya,KE,43.74,101.64,89.23,89.23,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 09:00:00,Kenya,Kenya,KE,45.51,104.26,88.79,88.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 10:00:00,Kenya,Kenya,KE,45.69,104.37,88.75,88.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 11:00:00,Kenya,Kenya,KE,45.36,103.7,88.83,88.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 12:00:00,Kenya,Kenya,KE,49.16,109.36,87.89,87.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 13:00:00,Kenya,Kenya,KE,48.8,108.62,87.98,87.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 14:00:00,Kenya,Kenya,KE,49.03,108.62,87.92,87.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 15:00:00,Kenya,Kenya,KE,49.22,109.19,87.88,87.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 16:00:00,Kenya,Kenya,KE,48.34,107.73,88.09,88.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 17:00:00,Kenya,Kenya,KE,48.15,107.46,88.14,88.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 18:00:00,Kenya,Kenya,KE,44.66,101.94,89.0,89.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 19:00:00,Kenya,Kenya,KE,44.08,100.97,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 20:00:00,Kenya,Kenya,KE,44.11,101.08,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 21:00:00,Kenya,Kenya,KE,43.62,100.21,89.25,89.25,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 22:00:00,Kenya,Kenya,KE,44.08,101.21,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 23:00:00,Kenya,Kenya,KE,44.7,102.5,88.99,88.99,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 00:00:00,Kenya,Kenya,KE,45.06,103.22,88.9,88.9,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 01:00:00,Kenya,Kenya,KE,45.05,103.16,88.9,88.9,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 02:00:00,Kenya,Kenya,KE,44.83,103.38,88.96,88.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 03:00:00,Kenya,Kenya,KE,44.87,103.4,88.95,88.95,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 04:00:00,Kenya,Kenya,KE,44.97,103.35,88.92,88.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 05:00:00,Kenya,Kenya,KE,45.01,103.32,88.91,88.91,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 06:00:00,Kenya,Kenya,KE,39.96,95.72,90.16,90.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 07:00:00,Kenya,Kenya,KE,42.84,100.05,89.45,89.45,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 08:00:00,Kenya,Kenya,KE,44.32,102.08,89.08,89.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 09:00:00,Kenya,Kenya,KE,44.34,101.8,89.08,89.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 10:00:00,Kenya,Kenya,KE,45.03,102.96,88.91,88.91,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 11:00:00,Kenya,Kenya,KE,44.69,102.37,88.99,88.99,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 12:00:00,Kenya,Kenya,KE,48.49,108.03,88.06,88.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 13:00:00,Kenya,Kenya,KE,48.53,108.05,88.05,88.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 14:00:00,Kenya,Kenya,KE,49.09,108.89,87.91,87.91,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 15:00:00,Kenya,Kenya,KE,49.24,109.14,87.87,87.87,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 16:00:00,Kenya,Kenya,KE,48.36,107.68,88.09,88.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 17:00:00,Kenya,Kenya,KE,47.93,107.31,88.2,88.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 18:00:00,Kenya,Kenya,KE,44.38,101.31,89.07,89.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 19:00:00,Kenya,Kenya,KE,44.67,102.09,89.0,89.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 20:00:00,Kenya,Kenya,KE,44.47,101.7,89.05,89.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 21:00:00,Kenya,Kenya,KE,44.24,101.36,89.1,89.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 22:00:00,Kenya,Kenya,KE,44.23,101.43,89.11,89.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 23:00:00,Kenya,Kenya,KE,43.9,100.77,89.19,89.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 00:00:00,Kenya,Kenya,KE,44.43,101.86,89.06,89.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 01:00:00,Kenya,Kenya,KE,44.45,101.89,89.05,89.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 02:00:00,Kenya,Kenya,KE,44.83,103.14,88.96,88.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 03:00:00,Kenya,Kenya,KE,44.61,102.85,89.01,89.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 04:00:00,Kenya,Kenya,KE,43.86,101.4,89.2,89.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 05:00:00,Kenya,Kenya,KE,43.82,101.19,89.21,89.21,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 06:00:00,Kenya,Kenya,KE,38.53,93.14,90.51,90.51,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 07:00:00,Kenya,Kenya,KE,41.99,98.33,89.66,89.66,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 08:00:00,Kenya,Kenya,KE,42.61,99.27,89.5,89.5,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 09:00:00,Kenya,Kenya,KE,44.46,102.05,89.05,89.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 10:00:00,Kenya,Kenya,KE,44.77,102.55,88.97,88.97,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 11:00:00,Kenya,Kenya,KE,44.62,102.29,89.01,89.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 12:00:00,Kenya,Kenya,KE,48.44,107.77,88.07,88.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 13:00:00,Kenya,Kenya,KE,48.95,108.7,87.94,87.94,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 14:00:00,Kenya,Kenya,KE,48.64,107.92,88.02,88.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 15:00:00,Kenya,Kenya,KE,49.29,109.25,87.86,87.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 16:00:00,Kenya,Kenya,KE,47.82,106.66,88.22,88.22,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 17:00:00,Kenya,Kenya,KE,47.03,105.52,88.42,88.42,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 18:00:00,Kenya,Kenya,KE,43.8,100.28,89.21,89.21,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 19:00:00,Kenya,Kenya,KE,44.04,100.84,89.15,89.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 20:00:00,Kenya,Kenya,KE,44.38,101.63,89.07,89.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 21:00:00,Kenya,Kenya,KE,44.09,101.13,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 22:00:00,Kenya,Kenya,KE,44.17,101.3,89.12,89.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 23:00:00,Kenya,Kenya,KE,44.25,101.54,89.1,89.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 00:00:00,Kenya,Kenya,KE,45.14,103.28,88.88,88.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 01:00:00,Kenya,Kenya,KE,45.3,103.58,88.84,88.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 02:00:00,Kenya,Kenya,KE,45.0,103.65,88.92,88.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 03:00:00,Kenya,Kenya,KE,45.27,104.2,88.85,88.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 04:00:00,Kenya,Kenya,KE,44.54,102.46,89.03,89.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 05:00:00,Kenya,Kenya,KE,44.33,101.93,89.08,89.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 06:00:00,Kenya,Kenya,KE,38.08,92.52,90.62,90.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 07:00:00,Kenya,Kenya,KE,41.5,97.65,89.78,89.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 08:00:00,Kenya,Kenya,KE,42.16,98.64,89.62,89.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 09:00:00,Kenya,Kenya,KE,43.94,101.43,89.18,89.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 10:00:00,Kenya,Kenya,KE,44.03,101.42,89.16,89.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 11:00:00,Kenya,Kenya,KE,44.47,102.09,89.05,89.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 12:00:00,Kenya,Kenya,KE,48.61,108.32,88.03,88.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 13:00:00,Kenya,Kenya,KE,48.35,107.67,88.09,88.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 14:00:00,Kenya,Kenya,KE,49.05,108.78,87.92,87.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 15:00:00,Kenya,Kenya,KE,48.98,108.8,87.94,87.94,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 16:00:00,Kenya,Kenya,KE,47.89,106.98,88.2,88.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 17:00:00,Kenya,Kenya,KE,47.1,105.84,88.4,88.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 18:00:00,Kenya,Kenya,KE,44.0,100.87,89.16,89.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 19:00:00,Kenya,Kenya,KE,44.28,101.34,89.09,89.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 20:00:00,Kenya,Kenya,KE,44.19,101.31,89.12,89.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 21:00:00,Kenya,Kenya,KE,44.11,101.09,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 22:00:00,Kenya,Kenya,KE,44.52,102.03,89.03,89.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-04 23:00:00,Kenya,Kenya,KE,44.88,102.75,88.95,88.95,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 00:00:00,Kenya,Kenya,KE,45.2,103.42,88.87,88.87,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 01:00:00,Kenya,Kenya,KE,45.2,103.42,88.87,88.87,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 02:00:00,Kenya,Kenya,KE,45.29,104.13,88.85,88.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 03:00:00,Kenya,Kenya,KE,44.93,103.55,88.93,88.93,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 04:00:00,Kenya,Kenya,KE,44.74,103.22,88.98,88.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 05:00:00,Kenya,Kenya,KE,45.0,103.63,88.92,88.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 06:00:00,Kenya,Kenya,KE,40.31,96.31,90.07,90.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 07:00:00,Kenya,Kenya,KE,42.23,98.97,89.6,89.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 08:00:00,Kenya,Kenya,KE,42.81,99.83,89.46,89.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 09:00:00,Kenya,Kenya,KE,44.1,101.72,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 10:00:00,Kenya,Kenya,KE,43.84,101.44,89.2,89.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 11:00:00,Kenya,Kenya,KE,44.4,102.29,89.06,89.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 12:00:00,Kenya,Kenya,KE,48.65,108.71,88.02,88.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 13:00:00,Kenya,Kenya,KE,48.08,107.81,88.16,88.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 14:00:00,Kenya,Kenya,KE,49.3,109.52,87.86,87.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 15:00:00,Kenya,Kenya,KE,48.61,108.64,88.03,88.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 16:00:00,Kenya,Kenya,KE,49.17,109.31,87.89,87.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 17:00:00,Kenya,Kenya,KE,46.6,105.14,88.52,88.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 18:00:00,Kenya,Kenya,KE,44.61,101.96,89.01,89.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 19:00:00,Kenya,Kenya,KE,44.04,100.96,89.15,89.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 20:00:00,Kenya,Kenya,KE,44.6,102.09,89.02,89.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 21:00:00,Kenya,Kenya,KE,44.61,102.27,89.01,89.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 22:00:00,Kenya,Kenya,KE,44.92,102.91,88.94,88.94,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-05 23:00:00,Kenya,Kenya,KE,44.93,102.92,88.93,88.93,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 00:00:00,Kenya,Kenya,KE,44.97,103.03,88.92,88.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 01:00:00,Kenya,Kenya,KE,44.98,103.04,88.92,88.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 02:00:00,Kenya,Kenya,KE,45.12,103.8,88.89,88.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 03:00:00,Kenya,Kenya,KE,44.97,103.67,88.92,88.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 04:00:00,Kenya,Kenya,KE,44.73,103.21,88.98,88.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 05:00:00,Kenya,Kenya,KE,44.64,103.0,89.0,89.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 06:00:00,Kenya,Kenya,KE,39.63,95.38,90.24,90.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 07:00:00,Kenya,Kenya,KE,42.17,99.15,89.61,89.61,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 08:00:00,Kenya,Kenya,KE,42.83,100.14,89.45,89.45,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 09:00:00,Kenya,Kenya,KE,44.83,103.16,88.96,88.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 10:00:00,Kenya,Kenya,KE,45.23,103.8,88.86,88.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 11:00:00,Kenya,Kenya,KE,45.66,104.46,88.75,88.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 12:00:00,Kenya,Kenya,KE,49.49,110.03,87.81,87.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 13:00:00,Kenya,Kenya,KE,49.42,109.78,87.83,87.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 14:00:00,Kenya,Kenya,KE,49.19,109.09,87.88,87.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 15:00:00,Kenya,Kenya,KE,49.52,109.76,87.8,87.8,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 16:00:00,Kenya,Kenya,KE,48.3,107.68,88.1,88.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 17:00:00,Kenya,Kenya,KE,48.32,107.76,88.1,88.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 18:00:00,Kenya,Kenya,KE,45.0,102.55,88.92,88.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 19:00:00,Kenya,Kenya,KE,44.33,101.42,89.08,89.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 20:00:00,Kenya,Kenya,KE,44.22,101.26,89.11,89.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 21:00:00,Kenya,Kenya,KE,44.11,101.15,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 22:00:00,Kenya,Kenya,KE,44.11,101.15,89.14,89.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-06 23:00:00,Kenya,Kenya,KE,44.26,101.55,89.1,89.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 00:00:00,Kenya,Kenya,KE,44.25,101.54,89.1,89.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 01:00:00,Kenya,Kenya,KE,44.25,101.54,89.1,89.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 02:00:00,Kenya,Kenya,KE,44.21,101.95,89.11,89.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 03:00:00,Kenya,Kenya,KE,44.0,101.67,89.16,89.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 04:00:00,Kenya,Kenya,KE,43.27,100.22,89.34,89.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 05:00:00,Kenya,Kenya,KE,43.89,101.31,89.19,89.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 06:00:00,Kenya,Kenya,KE,39.32,94.31,90.32,90.32,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 07:00:00,Kenya,Kenya,KE,42.36,98.93,89.57,89.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 08:00:00,Kenya,Kenya,KE,42.14,98.68,89.62,89.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 09:00:00,Kenya,Kenya,KE,43.99,101.44,89.16,89.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 10:00:00,Kenya,Kenya,KE,44.32,101.96,89.08,89.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 11:00:00,Kenya,Kenya,KE,44.54,102.18,89.03,89.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 12:00:00,Kenya,Kenya,KE,48.14,107.29,88.14,88.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 13:00:00,Kenya,Kenya,KE,48.62,108.2,88.02,88.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-07 14:00:00,Kenya,Kenya,KE,49.49,109.39,87.81,87.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
