Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Austria,Austria,AT,87.15,115.5,90.32,81.78,entsoe.eu,false,
2024-01-01 01:00:00,Austria,Austria,AT,71.64,98.63,91.9,84.79,entsoe.eu,false,
2024-01-01 02:00:00,Austria,Austria,AT,53.21,78.49,93.82,88.89,entsoe.eu,false,
2024-01-01 03:00:00,Austria,Austria,AT,48.54,73.53,94.29,90.03,entsoe.eu,false,
2024-01-01 04:00:00,Austria,Austria,AT,57.64,83.63,93.33,87.83,entsoe.eu,false,
2024-01-01 05:00:00,Austria,Austria,AT,70.1,97.15,92.1,84.12,entsoe.eu,false,
2024-01-01 06:00:00,Austria,Austria,AT,67.47,94.4,92.34,85.02,entsoe.eu,false,
2024-01-01 07:00:00,Austria,Austria,AT,68.73,95.71,92.24,84.57,entsoe.eu,false,
2024-01-01 08:00:00,Austria,Austria,AT,56.91,82.92,93.53,87.26,entsoe.eu,false,
2024-01-01 09:00:00,Austria,Austria,AT,54.17,81.17,93.71,88.62,entsoe.eu,false,
2024-01-01 10:00:00,Austria,Austria,AT,44.38,70.99,94.72,91.19,entsoe.eu,false,
2024-01-01 11:00:00,Austria,Austria,AT,38.35,64.08,95.39,92.28,entsoe.eu,false,
2024-01-01 12:00:00,Austria,Austria,AT,33.46,58.19,95.96,93.09,entsoe.eu,false,
2024-01-01 13:00:00,Austria,Austria,AT,37.02,61.44,95.62,90.43,entsoe.eu,false,
2024-01-01 14:00:00,Austria,Austria,AT,45.76,69.12,95.03,86.13,entsoe.eu,false,
2024-01-01 15:00:00,Austria,Austria,AT,77.39,76.29,96.66,89.24,entsoe.eu,false,
2024-01-01 16:00:00,Austria,Austria,AT,89.3,82.72,96.54,89.24,entsoe.eu,false,
2024-01-01 17:00:00,Austria,Austria,AT,84.12,79.17,96.68,89.38,entsoe.eu,false,
2024-01-01 18:00:00,Austria,Austria,AT,82.07,78.88,96.52,90.02,entsoe.eu,false,
2024-01-01 19:00:00,Austria,Austria,AT,69.29,74.09,96.06,88.79,entsoe.eu,false,
2024-01-01 20:00:00,Austria,Austria,AT,59.14,72.02,95.65,87.12,entsoe.eu,false,
2024-01-01 21:00:00,Austria,Austria,AT,54.5,69.18,95.64,86.02,entsoe.eu,false,
2024-01-01 22:00:00,Austria,Austria,AT,42.6,64.89,95.01,85.24,entsoe.eu,false,
2024-01-01 23:00:00,Austria,Austria,AT,48.2,72.49,94.11,82.76,entsoe.eu,false,
2024-01-02 00:00:00,Austria,Austria,AT,42.33,67.03,94.48,83.35,entsoe.eu,false,
2024-01-02 01:00:00,Austria,Austria,AT,50.8,76.49,93.67,82.57,entsoe.eu,false,
2024-01-02 02:00:00,Austria,Austria,AT,50.24,76.04,93.69,81.78,entsoe.eu,false,
2024-01-02 03:00:00,Austria,Austria,AT,62.61,90.36,92.15,80.27,entsoe.eu,false,
2024-01-02 04:00:00,Austria,Austria,AT,76.31,106.05,90.0,76.12,entsoe.eu,false,
2024-01-02 05:00:00,Austria,Austria,AT,71.05,98.81,89.95,76.36,entsoe.eu,false,
2024-01-02 06:00:00,Austria,Austria,AT,79.74,98.35,90.81,78.29,entsoe.eu,false,
2024-01-02 07:00:00,Austria,Austria,AT,84.17,95.26,91.85,81.65,entsoe.eu,false,
2024-01-02 08:00:00,Austria,Austria,AT,79.95,90.23,92.43,85.14,entsoe.eu,false,
2024-01-02 09:00:00,Austria,Austria,AT,70.68,80.4,93.45,85.7,entsoe.eu,false,
2024-01-02 10:00:00,Austria,Austria,AT,74.02,77.41,94.44,87.33,entsoe.eu,false,
2024-01-02 11:00:00,Austria,Austria,AT,80.03,79.55,94.7,89.79,entsoe.eu,false,
2024-01-02 12:00:00,Austria,Austria,AT,77.99,77.62,94.94,89.57,entsoe.eu,false,
2024-01-02 13:00:00,Austria,Austria,AT,84.01,87.97,93.66,86.35,entsoe.eu,false,
2024-01-02 14:00:00,Austria,Austria,AT,91.44,97.74,92.43,84.7,entsoe.eu,false,
2024-01-02 15:00:00,Austria,Austria,AT,102.06,107.04,91.66,83.77,entsoe.eu,false,
2024-01-02 16:00:00,Austria,Austria,AT,98.32,104.13,91.77,82.97,entsoe.eu,false,
2024-01-02 17:00:00,Austria,Austria,AT,93.76,101.06,91.91,83.66,entsoe.eu,false,
2024-01-02 18:00:00,Austria,Austria,AT,78.75,91.26,92.22,83.49,entsoe.eu,false,
2024-01-02 19:00:00,Austria,Austria,AT,58.61,83.62,91.7,82.47,entsoe.eu,false,
2024-01-02 20:00:00,Austria,Austria,AT,61.15,88.89,90.98,82.81,entsoe.eu,false,
2024-01-02 21:00:00,Austria,Austria,AT,70.58,99.57,89.89,82.02,entsoe.eu,false,
2024-01-02 22:00:00,Austria,Austria,AT,75.54,104.7,89.74,82.5,entsoe.eu,false,
2024-01-02 23:00:00,Austria,Austria,AT,71.37,100.32,90.67,81.78,entsoe.eu,false,
2024-01-03 00:00:00,Austria,Austria,AT,67.75,96.74,91.08,82.64,entsoe.eu,false,
2024-01-03 01:00:00,Austria,Austria,AT,64.46,93.09,91.43,83.86,entsoe.eu,false,
2024-01-03 02:00:00,Austria,Austria,AT,61.39,89.51,91.78,83.91,entsoe.eu,false,
2024-01-03 03:00:00,Austria,Austria,AT,60.98,88.84,91.85,85.0,entsoe.eu,false,
2024-01-03 04:00:00,Austria,Austria,AT,62.3,89.68,91.74,82.84,entsoe.eu,false,
2024-01-03 05:00:00,Austria,Austria,AT,57.79,84.86,92.13,84.87,entsoe.eu,false,
2024-01-03 06:00:00,Austria,Austria,AT,57.95,83.52,91.95,87.63,entsoe.eu,false,
2024-01-03 07:00:00,Austria,Austria,AT,76.77,92.26,92.08,88.11,entsoe.eu,false,
2024-01-03 08:00:00,Austria,Austria,AT,78.59,94.11,91.84,88.27,entsoe.eu,false,
2024-01-03 09:00:00,Austria,Austria,AT,54.24,79.13,92.4,89.5,entsoe.eu,false,
2024-01-03 10:00:00,Austria,Austria,AT,41.99,67.85,93.62,91.22,entsoe.eu,false,
2024-01-03 11:00:00,Austria,Austria,AT,36.73,62.73,94.11,92.13,entsoe.eu,false,
2024-01-03 12:00:00,Austria,Austria,AT,38.21,63.81,93.92,92.08,entsoe.eu,false,
2024-01-03 13:00:00,Austria,Austria,AT,49.32,69.01,93.75,91.75,entsoe.eu,false,
2024-01-03 14:00:00,Austria,Austria,AT,73.34,79.83,93.93,91.43,entsoe.eu,false,
2024-01-03 15:00:00,Austria,Austria,AT,90.2,89.03,93.84,91.12,entsoe.eu,false,
2024-01-03 16:00:00,Austria,Austria,AT,94.5,93.87,93.42,89.36,entsoe.eu,false,
2024-01-03 17:00:00,Austria,Austria,AT,97.49,95.64,93.36,89.39,entsoe.eu,false,
2024-01-03 18:00:00,Austria,Austria,AT,93.92,91.36,93.77,90.38,entsoe.eu,false,
2024-01-03 19:00:00,Austria,Austria,AT,92.8,92.75,93.33,90.31,entsoe.eu,false,
2024-01-03 20:00:00,Austria,Austria,AT,84.39,88.21,93.35,89.88,entsoe.eu,false,
2024-01-03 21:00:00,Austria,Austria,AT,83.32,91.95,92.42,87.71,entsoe.eu,false,
2024-01-03 22:00:00,Austria,Austria,AT,72.59,94.92,91.13,84.74,entsoe.eu,false,
2024-01-03 23:00:00,Austria,Austria,AT,59.64,86.42,91.66,84.24,entsoe.eu,false,
2024-01-04 00:00:00,Austria,Austria,AT,49.24,75.01,92.88,84.83,entsoe.eu,false,
2024-01-04 01:00:00,Austria,Austria,AT,43.25,68.11,93.82,86.16,entsoe.eu,false,
2024-01-04 02:00:00,Austria,Austria,AT,39.34,63.77,94.16,87.74,entsoe.eu,false,
2024-01-04 03:00:00,Austria,Austria,AT,38.45,63.2,93.71,87.8,entsoe.eu,false,
2024-01-04 04:00:00,Austria,Austria,AT,50.74,76.86,91.96,86.49,entsoe.eu,false,
2024-01-04 05:00:00,Austria,Austria,AT,61.23,87.84,89.51,86.89,entsoe.eu,false,
2024-01-04 06:00:00,Austria,Austria,AT,69.22,95.76,88.03,85.87,entsoe.eu,false,
2024-01-04 07:00:00,Austria,Austria,AT,71.03,91.43,88.42,86.98,entsoe.eu,false,
2024-01-04 08:00:00,Austria,Austria,AT,67.94,87.77,88.21,87.77,entsoe.eu,false,
2024-01-04 09:00:00,Austria,Austria,AT,73.16,96.65,86.52,85.45,entsoe.eu,false,
2024-01-04 10:00:00,Austria,Austria,AT,66.69,94.36,86.53,85.12,entsoe.eu,false,
2024-01-04 11:00:00,Austria,Austria,AT,62.47,92.14,86.35,85.27,entsoe.eu,false,
2024-01-04 12:00:00,Austria,Austria,AT,63.86,91.81,86.5,85.72,entsoe.eu,false,
2024-01-04 13:00:00,Austria,Austria,AT,73.13,92.65,87.24,86.95,entsoe.eu,false,
2024-01-04 14:00:00,Austria,Austria,AT,81.12,97.24,87.29,86.56,entsoe.eu,false,
2024-01-04 15:00:00,Austria,Austria,AT,88.66,101.03,87.29,86.64,entsoe.eu,false,
2024-01-04 16:00:00,Austria,Austria,AT,88.31,102.49,86.97,86.06,entsoe.eu,false,
2024-01-04 17:00:00,Austria,Austria,AT,90.24,106.17,86.2,85.21,entsoe.eu,false,
2024-01-04 18:00:00,Austria,Austria,AT,98.63,109.38,86.49,85.15,entsoe.eu,false,
2024-01-04 19:00:00,Austria,Austria,AT,93.94,107.77,86.2,84.61,entsoe.eu,false,
2024-01-04 20:00:00,Austria,Austria,AT,88.8,113.81,83.89,82.28,entsoe.eu,false,
2024-01-04 21:00:00,Austria,Austria,AT,86.34,114.9,83.23,81.31,entsoe.eu,false,
2024-01-04 22:00:00,Austria,Austria,AT,87.91,119.02,82.57,80.0,entsoe.eu,false,
2024-01-04 23:00:00,Austria,Austria,AT,93.63,123.93,83.08,79.18,entsoe.eu,false,
2024-01-05 00:00:00,Austria,Austria,AT,85.19,117.54,84.56,79.73,entsoe.eu,false,
2024-01-05 01:00:00,Austria,Austria,AT,85.87,119.37,84.5,79.37,entsoe.eu,false,
2024-01-05 02:00:00,Austria,Austria,AT,86.86,121.47,83.85,78.9,entsoe.eu,false,
2024-01-05 03:00:00,Austria,Austria,AT,97.78,133.26,82.25,77.1,entsoe.eu,false,
2024-01-05 04:00:00,Austria,Austria,AT,119.46,158.15,79.53,73.91,entsoe.eu,false,
2024-01-05 05:00:00,Austria,Austria,AT,128.49,167.4,77.38,69.41,entsoe.eu,false,
2024-01-05 06:00:00,Austria,Austria,AT,140.74,165.92,79.22,73.62,entsoe.eu,false,
2024-01-05 07:00:00,Austria,Austria,AT,125.09,145.18,81.33,78.13,entsoe.eu,false,
2024-01-05 08:00:00,Austria,Austria,AT,102.85,125.42,83.04,80.91,entsoe.eu,false,
2024-01-05 09:00:00,Austria,Austria,AT,102.22,122.87,83.75,81.63,entsoe.eu,false,
2024-01-05 10:00:00,Austria,Austria,AT,103.16,124.39,83.6,81.32,entsoe.eu,false,
2024-01-05 11:00:00,Austria,Austria,AT,102.46,132.65,81.78,79.27,entsoe.eu,false,
2024-01-05 12:00:00,Austria,Austria,AT,98.27,128.27,82.21,80.14,entsoe.eu,false,
2024-01-05 13:00:00,Austria,Austria,AT,110.15,135.1,82.11,79.78,entsoe.eu,false,
2024-01-05 14:00:00,Austria,Austria,AT,125.11,137.34,83.34,80.92,entsoe.eu,false,
2024-01-05 15:00:00,Austria,Austria,AT,124.11,130.46,84.81,82.93,entsoe.eu,false,
2024-01-05 16:00:00,Austria,Austria,AT,129.5,135.72,84.5,81.47,entsoe.eu,false,
2024-01-05 17:00:00,Austria,Austria,AT,129.11,136.59,84.29,80.94,entsoe.eu,false,
2024-01-05 18:00:00,Austria,Austria,AT,132.86,144.4,82.8,79.72,entsoe.eu,false,
2024-01-05 19:00:00,Austria,Austria,AT,125.55,148.17,80.78,77.33,entsoe.eu,false,
2024-01-05 20:00:00,Austria,Austria,AT,126.09,157.85,78.66,74.54,entsoe.eu,false,
2024-01-05 21:00:00,Austria,Austria,AT,128.28,163.75,77.53,72.74,entsoe.eu,false,
2024-01-05 22:00:00,Austria,Austria,AT,130.63,166.99,77.34,71.36,entsoe.eu,false,
2024-01-05 23:00:00,Austria,Austria,AT,115.6,150.48,79.78,74.18,entsoe.eu,false,
2024-01-06 00:00:00,Austria,Austria,AT,112.0,146.17,81.55,74.63,entsoe.eu,false,
2024-01-06 01:00:00,Austria,Austria,AT,109.81,144.01,82.25,73.51,entsoe.eu,false,
2024-01-06 02:00:00,Austria,Austria,AT,100.81,136.55,82.71,71.61,entsoe.eu,false,
2024-01-06 03:00:00,Austria,Austria,AT,95.85,131.2,83.3,72.59,entsoe.eu,false,
2024-01-06 04:00:00,Austria,Austria,AT,111.52,147.25,81.98,70.74,entsoe.eu,false,
2024-01-06 05:00:00,Austria,Austria,AT,122.65,158.91,80.52,70.65,entsoe.eu,false,
2024-01-06 06:00:00,Austria,Austria,AT,125.96,162.65,78.54,71.63,entsoe.eu,false,
2024-01-06 07:00:00,Austria,Austria,AT,135.83,176.02,76.12,69.17,entsoe.eu,false,
2024-01-06 08:00:00,Austria,Austria,AT,130.36,169.81,76.76,68.1,entsoe.eu,false,
2024-01-06 09:00:00,Austria,Austria,AT,130.13,168.44,77.13,68.34,entsoe.eu,false,
2024-01-06 10:00:00,Austria,Austria,AT,130.22,162.99,78.71,72.42,entsoe.eu,false,
2024-01-06 11:00:00,Austria,Austria,AT,122.73,157.49,79.0,70.8,entsoe.eu,false,
2024-01-06 12:00:00,Austria,Austria,AT,108.9,145.22,79.8,72.27,entsoe.eu,false,
2024-01-06 13:00:00,Austria,Austria,AT,101.21,136.61,80.63,74.19,entsoe.eu,false,
2024-01-06 14:00:00,Austria,Austria,AT,105.1,138.66,81.21,74.66,entsoe.eu,false,
2024-01-06 15:00:00,Austria,Austria,AT,104.67,135.88,81.79,75.11,entsoe.eu,false,
2024-01-06 16:00:00,Austria,Austria,AT,107.48,127.51,84.05,79.52,entsoe.eu,false,
2024-01-06 17:00:00,Austria,Austria,AT,107.89,127.37,84.06,80.39,entsoe.eu,false,
2024-01-06 18:00:00,Austria,Austria,AT,100.34,127.0,83.01,79.57,entsoe.eu,false,
2024-01-06 19:00:00,Austria,Austria,AT,91.85,122.79,82.7,80.03,entsoe.eu,false,
2024-01-06 20:00:00,Austria,Austria,AT,90.33,124.92,81.98,79.1,entsoe.eu,false,
2024-01-06 21:00:00,Austria,Austria,AT,88.81,123.63,82.1,79.03,entsoe.eu,false,
2024-01-06 22:00:00,Austria,Austria,AT,83.47,118.5,82.86,79.59,entsoe.eu,false,
2024-01-06 23:00:00,Austria,Austria,AT,83.22,117.02,83.78,79.54,entsoe.eu,false,
2024-01-07 00:00:00,Austria,Austria,AT,67.25,97.97,86.96,82.76,entsoe.eu,false,
2024-01-07 01:00:00,Austria,Austria,AT,56.63,85.71,88.69,84.87,entsoe.eu,false,
2024-01-07 02:00:00,Austria,Austria,AT,55.18,83.92,89.07,85.31,entsoe.eu,false,
2024-01-07 03:00:00,Austria,Austria,AT,52.72,81.33,89.4,85.42,entsoe.eu,false,
2024-01-07 04:00:00,Austria,Austria,AT,51.45,79.8,89.7,85.75,entsoe.eu,false,
2024-01-07 05:00:00,Austria,Austria,AT,53.95,82.61,89.25,86.27,entsoe.eu,false,
2024-01-07 06:00:00,Austria,Austria,AT,60.59,89.67,88.4,85.2,entsoe.eu,false,
2024-01-07 07:00:00,Austria,Austria,AT,66.69,98.33,86.23,83.57,entsoe.eu,false,
2024-01-07 08:00:00,Austria,Austria,AT,62.69,95.15,85.87,84.18,entsoe.eu,false,
2024-01-07 09:00:00,Austria,Austria,AT,60.41,92.59,86.26,84.75,entsoe.eu,false,
2024-01-07 10:00:00,Austria,Austria,AT,63.87,91.05,87.18,86.09,entsoe.eu,false,
2024-01-07 11:00:00,Austria,Austria,AT,64.55,89.67,87.62,86.69,entsoe.eu,false,
2024-01-07 12:00:00,Austria,Austria,AT,61.28,93.79,86.3,84.62,entsoe.eu,false,
2024-01-07 13:00:00,Austria,Austria,AT,61.09,93.84,86.07,84.55,entsoe.eu,false,
2024-01-07 14:00:00,Austria,Austria,AT,62.42,95.0,85.83,84.29,entsoe.eu,false,
2024-01-07 15:00:00,Austria,Austria,AT,64.24,93.79,86.14,84.86,entsoe.eu,false,
2024-01-07 16:00:00,Austria,Austria,AT,64.8,92.36,86.55,85.1,entsoe.eu,false,
2024-01-07 17:00:00,Austria,Austria,AT,67.23,93.16,86.63,85.66,entsoe.eu,false,
2024-01-07 18:00:00,Austria,Austria,AT,67.75,92.95,86.75,85.81,entsoe.eu,false,
2024-01-07 19:00:00,Austria,Austria,AT,63.37,91.31,86.5,85.73,entsoe.eu,false,
2024-01-07 20:00:00,Austria,Austria,AT,59.2,91.92,85.75,84.89,entsoe.eu,false,
2024-01-07 21:00:00,Austria,Austria,AT,60.09,92.02,86.37,84.84,entsoe.eu,false,
2024-01-07 22:00:00,Austria,Austria,AT,60.6,91.24,87.43,84.6,entsoe.eu,false,
2024-01-07 23:00:00,Austria,Austria,AT,53.1,83.34,88.42,85.93,entsoe.eu,false,
2024-01-08 00:00:00,Austria,Austria,AT,54.63,85.75,87.84,85.18,entsoe.eu,false,
2024-01-08 01:00:00,Austria,Austria,AT,57.86,88.94,87.41,84.39,entsoe.eu,false,
2024-01-08 02:00:00,Austria,Austria,AT,60.42,92.02,86.87,83.72,entsoe.eu,false,
2024-01-08 03:00:00,Austria,Austria,AT,62.32,94.28,86.35,83.47,entsoe.eu,false,
2024-01-08 04:00:00,Austria,Austria,AT,66.59,100.95,84.35,82.64,entsoe.eu,false,
2024-01-08 05:00:00,Austria,Austria,AT,79.3,114.59,81.57,81.12,entsoe.eu,false,
2024-01-08 06:00:00,Austria,Austria,AT,90.03,123.42,80.17,79.65,entsoe.eu,false,
2024-01-08 07:00:00,Austria,Austria,AT,100.31,119.89,82.69,82.48,entsoe.eu,false,
2024-01-08 08:00:00,Austria,Austria,AT,99.8,121.7,82.35,81.9,entsoe.eu,false,
2024-01-08 09:00:00,Austria,Austria,AT,103.19,132.06,80.9,79.64,entsoe.eu,false,
2024-01-08 10:00:00,Austria,Austria,AT,110.01,140.06,80.19,78.59,entsoe.eu,false,
2024-01-08 11:00:00,Austria,Austria,AT,115.7,150.66,79.04,76.92,entsoe.eu,false,
2024-01-08 12:00:00,Austria,Austria,AT,116.34,151.22,79.16,76.75,entsoe.eu,false,
2024-01-08 13:00:00,Austria,Austria,AT,109.55,141.9,80.08,78.18,entsoe.eu,false,
2024-01-08 14:00:00,Austria,Austria,AT,95.63,124.14,81.73,80.72,entsoe.eu,false,
2024-01-08 15:00:00,Austria,Austria,AT,101.24,122.2,82.63,82.03,entsoe.eu,false,
2024-01-08 16:00:00,Austria,Austria,AT,101.22,126.48,81.92,80.85,entsoe.eu,false,
2024-01-08 17:00:00,Austria,Austria,AT,107.4,139.74,79.8,78.8,entsoe.eu,false,
2024-01-08 18:00:00,Austria,Austria,AT,91.52,124.08,80.64,79.83,entsoe.eu,false,
2024-01-08 19:00:00,Austria,Austria,AT,100.74,132.73,79.75,79.18,entsoe.eu,false,
2024-01-08 20:00:00,Austria,Austria,AT,114.06,150.6,77.48,76.66,entsoe.eu,false,
2024-01-08 21:00:00,Austria,Austria,AT,110.08,147.95,77.82,76.4,entsoe.eu,false,
2024-01-08 22:00:00,Austria,Austria,AT,102.96,141.7,78.22,76.62,entsoe.eu,false,
2024-01-08 23:00:00,Austria,Austria,AT,108.31,152.76,75.58,74.76,entsoe.eu,false,
2024-01-09 00:00:00,Austria,Austria,AT,101.92,146.78,75.6,75.17,entsoe.eu,false,
2024-01-09 01:00:00,Austria,Austria,AT,108.53,153.6,75.01,73.86,entsoe.eu,false,
2024-01-09 02:00:00,Austria,Austria,AT,101.83,147.62,74.82,74.19,entsoe.eu,false,
2024-01-09 03:00:00,Austria,Austria,AT,117.64,165.48,72.63,71.92,entsoe.eu,false,
2024-01-09 04:00:00,Austria,Austria,AT,143.45,186.81,71.5,70.24,entsoe.eu,false,
2024-01-09 05:00:00,Austria,Austria,AT,172.16,219.1,67.56,65.45,entsoe.eu,false,
2024-01-09 06:00:00,Austria,Austria,AT,149.65,173.61,74.18,72.68,entsoe.eu,false,
2024-01-09 07:00:00,Austria,Austria,AT,159.17,181.48,73.86,72.04,entsoe.eu,false,
2024-01-09 08:00:00,Austria,Austria,AT,169.85,193.79,72.69,70.89,entsoe.eu,false,
2024-01-09 09:00:00,Austria,Austria,AT,198.44,240.17,66.32,63.49,entsoe.eu,false,
2024-01-09 10:00:00,Austria,Austria,AT,203.15,251.48,64.46,61.13,entsoe.eu,false,
2024-01-09 11:00:00,Austria,Austria,AT,207.21,257.45,63.6,60.07,entsoe.eu,false,
2024-01-09 12:00:00,Austria,Austria,AT,208.43,257.87,63.46,59.99,entsoe.eu,false,
2024-01-09 13:00:00,Austria,Austria,AT,216.26,265.45,62.14,58.71,entsoe.eu,false,
2024-01-09 14:00:00,Austria,Austria,AT,193.81,227.25,66.93,64.51,entsoe.eu,false,
2024-01-09 15:00:00,Austria,Austria,AT,177.27,204.75,69.93,67.07,entsoe.eu,false,
2024-01-09 16:00:00,Austria,Austria,AT,175.6,196.75,72.25,68.85,entsoe.eu,false,
2024-01-09 17:00:00,Austria,Austria,AT,178.94,202.03,71.3,68.39,entsoe.eu,false,
2024-01-09 18:00:00,Austria,Austria,AT,179.09,206.68,69.65,67.35,entsoe.eu,false,
2024-01-09 19:00:00,Austria,Austria,AT,178.08,219.6,65.64,63.05,entsoe.eu,false,
2024-01-09 20:00:00,Austria,Austria,AT,197.92,246.62,62.12,59.01,entsoe.eu,false,
2024-01-09 21:00:00,Austria,Austria,AT,200.22,249.93,61.39,57.97,entsoe.eu,false,
2024-01-09 22:00:00,Austria,Austria,AT,193.41,239.5,62.9,59.56,entsoe.eu,false,
2024-01-09 23:00:00,Austria,Austria,AT,211.41,272.19,58.11,54.68,entsoe.eu,false,
2024-01-10 00:00:00,Austria,Austria,AT,215.1,277.15,57.35,54.29,entsoe.eu,false,
2024-01-10 01:00:00,Austria,Austria,AT,216.3,278.82,56.95,53.79,entsoe.eu,false,
2024-01-10 02:00:00,Austria,Austria,AT,215.65,278.16,56.99,53.64,entsoe.eu,false,
2024-01-10 03:00:00,Austria,Austria,AT,217.31,279.12,57.38,53.96,entsoe.eu,false,
2024-01-10 04:00:00,Austria,Austria,AT,222.67,282.05,57.81,53.76,entsoe.eu,false,
2024-01-10 05:00:00,Austria,Austria,AT,198.97,241.94,64.32,61.46,entsoe.eu,false,
2024-01-10 06:00:00,Austria,Austria,AT,163.79,180.26,76.62,72.82,entsoe.eu,false,
2024-01-10 07:00:00,Austria,Austria,AT,154.96,166.73,79.0,75.22,entsoe.eu,false,
2024-01-10 08:00:00,Austria,Austria,AT,146.59,162.17,78.67,75.66,entsoe.eu,false,
2024-01-10 09:00:00,Austria,Austria,AT,144.81,165.05,77.11,75.1,entsoe.eu,false,
2024-01-10 10:00:00,Austria,Austria,AT,151.55,187.54,72.53,70.22,entsoe.eu,false,
2024-01-10 11:00:00,Austria,Austria,AT,168.64,214.43,67.44,65.36,entsoe.eu,false,
2024-01-10 12:00:00,Austria,Austria,AT,170.6,217.18,65.77,64.12,entsoe.eu,false,
2024-01-10 13:00:00,Austria,Austria,AT,159.68,189.83,71.01,69.71,entsoe.eu,false,
2024-01-10 14:00:00,Austria,Austria,AT,154.84,181.84,72.86,70.56,entsoe.eu,false,
2024-01-10 15:00:00,Austria,Austria,AT,160.71,183.26,73.86,70.48,entsoe.eu,false,
2024-01-10 16:00:00,Austria,Austria,AT,157.01,177.31,74.98,71.83,entsoe.eu,false,
2024-01-10 17:00:00,Austria,Austria,AT,156.39,177.66,74.71,71.84,entsoe.eu,false,
2024-01-10 18:00:00,Austria,Austria,AT,155.79,177.96,74.15,71.98,entsoe.eu,false,
2024-01-10 19:00:00,Austria,Austria,AT,154.15,180.13,73.26,70.95,entsoe.eu,false,
2024-01-10 20:00:00,Austria,Austria,AT,159.42,195.59,69.63,67.51,entsoe.eu,false,
2024-01-10 21:00:00,Austria,Austria,AT,178.4,224.04,65.66,62.57,entsoe.eu,false,
2024-01-10 22:00:00,Austria,Austria,AT,201.26,256.4,61.19,57.21,entsoe.eu,false,
2024-01-10 23:00:00,Austria,Austria,AT,207.5,263.37,61.55,57.02,entsoe.eu,false,
2024-01-11 00:00:00,Austria,Austria,AT,197.31,253.53,62.13,58.37,entsoe.eu,false,
2024-01-11 01:00:00,Austria,Austria,AT,207.2,264.74,60.84,57.0,entsoe.eu,false,
2024-01-11 02:00:00,Austria,Austria,AT,211.65,269.59,60.44,56.23,entsoe.eu,false,
2024-01-11 03:00:00,Austria,Austria,AT,227.72,286.95,58.71,54.2,entsoe.eu,false,
2024-01-11 04:00:00,Austria,Austria,AT,242.83,297.48,58.68,54.16,entsoe.eu,false,
2024-01-11 05:00:00,Austria,Austria,AT,237.61,270.87,64.26,60.42,entsoe.eu,false,
2024-01-11 06:00:00,Austria,Austria,AT,187.26,209.27,71.99,66.18,entsoe.eu,false,
2024-01-11 07:00:00,Austria,Austria,AT,183.02,201.75,73.45,68.38,entsoe.eu,false,
2024-01-11 08:00:00,Austria,Austria,AT,176.29,204.11,71.21,67.78,entsoe.eu,false,
2024-01-11 09:00:00,Austria,Austria,AT,172.73,205.26,70.02,67.31,entsoe.eu,false,
2024-01-11 10:00:00,Austria,Austria,AT,184.5,228.38,66.55,63.8,entsoe.eu,false,
2024-01-11 11:00:00,Austria,Austria,AT,204.71,261.65,61.87,58.99,entsoe.eu,false,
2024-01-11 12:00:00,Austria,Austria,AT,199.79,256.99,61.95,59.11,entsoe.eu,false,
2024-01-11 13:00:00,Austria,Austria,AT,193.45,240.71,64.78,62.31,entsoe.eu,false,
2024-01-11 14:00:00,Austria,Austria,AT,180.76,214.34,68.73,66.42,entsoe.eu,false,
2024-01-11 15:00:00,Austria,Austria,AT,175.95,201.28,71.5,68.78,entsoe.eu,false,
2024-01-11 16:00:00,Austria,Austria,AT,167.06,186.42,74.33,71.52,entsoe.eu,false,
2024-01-11 17:00:00,Austria,Austria,AT,152.99,169.21,76.63,74.38,entsoe.eu,false,
2024-01-11 18:00:00,Austria,Austria,AT,141.46,160.22,77.32,75.04,entsoe.eu,false,
2024-01-11 19:00:00,Austria,Austria,AT,129.1,155.67,76.37,74.43,entsoe.eu,false,
2024-01-11 20:00:00,Austria,Austria,AT,138.92,174.29,72.86,71.23,entsoe.eu,false,
2024-01-11 21:00:00,Austria,Austria,AT,166.69,215.93,67.27,64.67,entsoe.eu,false,
2024-01-11 22:00:00,Austria,Austria,AT,164.59,213.7,67.45,64.61,entsoe.eu,false,
2024-01-11 23:00:00,Austria,Austria,AT,177.06,229.5,65.61,62.79,entsoe.eu,false,
2024-01-12 00:00:00,Austria,Austria,AT,168.01,220.85,65.98,63.85,entsoe.eu,false,
2024-01-12 01:00:00,Austria,Austria,AT,170.25,222.9,65.96,63.7,entsoe.eu,false,
2024-01-12 02:00:00,Austria,Austria,AT,164.72,216.84,66.52,64.39,entsoe.eu,false,
2024-01-12 03:00:00,Austria,Austria,AT,177.21,230.17,65.4,62.93,entsoe.eu,false,
2024-01-12 04:00:00,Austria,Austria,AT,193.62,247.97,63.31,60.31,entsoe.eu,false,
2024-01-12 05:00:00,Austria,Austria,AT,205.67,259.74,61.74,58.72,entsoe.eu,false,
2024-01-12 06:00:00,Austria,Austria,AT,183.99,213.63,69.87,67.58,entsoe.eu,false,
2024-01-12 07:00:00,Austria,Austria,AT,173.83,201.22,71.32,68.85,entsoe.eu,false,
